Country,Refugees_2015,Key,Refugees_2010,Famine,Civil,government,"(millions of
US dollars)",Immigrants,Continent,Rain(ml),Murder Rate,Children_out_of_school,Poverty,Female,Male,Density(pop/mi),Population,Area(mi)
Bangladesh,231954.0,BGD,229253.0,1.0,0.0,Republic,195079.0,"1,396,514",Asia,2666.0,2.6,4.11,31.5,49.4%,50.6%,,,
Bulgaria,16513.0,BGR,5530.0,0.0,0.0,Republic,48953.0," 102,113",Europe,608.0,2.3,0.675,21.8,51.4%,48.6%,124.0,4922.0,39.0
The Bahamas,7.0,BHS,28.0,0.0,0.0,Republic,8884.0," 59,306",North America,1292.0,,1.93,9.3,51.1%,48.9%,45.0,11296000.0,248777.0
Bosnia and Herzegovina,6789.0,BIH,7016.0,0.0,0.0,Republic,15995.0," 34,803",Europe,1028.0,1.8,,18.6,51.2%,48.8%,171.0,21133.0,124.0
Belarus,1800.0,BLR,589.0,0.0,0.0,Constitutional monarchy,54609.0," 1,082,905",Europe,618.0,5.6,2.14,27.1,53.6%,46.4%,101.0,550.0,5.0
Belize,34.0,BLZ,134.0,0.0,0.0,Constitutional monarchy,1763.0,"50,860",North America,1705.0,33,1.21,41,50.0%,50.0%,16.2,1672000.0,103347.0
Bolivia,752.0,BOL,695.0,0.0,0.0,Republic,33197.0,"154,330",South America,1146.0,11,23.62,45,50.1%,49.9%,8.7,3461041.0,397955.0
Brazil,8643.0,BRA,4357.0,0.0,0.0,Republic,1774725.0,"1,847,274",South America,1782.0,22,33.84,21.4,50.8%,49.2%,45.0,13092666.0,290585.0
Brunei,0.0,BRN,0.0,0.0,0.0,Republic,15492.0,"206,173",Asia,2722.0,0.5,4.72,,,,161.0,122273473.0,759516.0
Bhutan,,BTN,,,,Republic,1962.0,"50,862",Asia,2200.0,1.4,10.84,12,46.3%,53.7%,42.0,38700000.0,919595.0
Botswana,2122.0,BWA,2986.0,0.0,0.0,Absolute monarchy,14391.0,"146,456",Africa,416.0,12,25.54,30.3,49.7%,50.3%,0.1,2655.0,23706.0
Central African Republic,7322.0,CAF,21574.0,0.0,0.0,Republic,1503.0,"134,237",Africa,1343.0,30,42.79,,50.8%,49.2%,8.16,24231966.0,2969907.0
Canada,135865.0,CAN,165549.0,0.0,0.0,Republic,1550537.0,"7,284,069",North America,537.0,2.05,0.0615,9.4,50.4%,49.6%,3.08,56.0,18.0
Switzerland,73261.0,CHE,48813.0,0.0,0.0,Republic,664738.0," 2,438,702",Europe,1537.0,0.71,0.443,7.6,50.7%,49.3%,448.0,1849000.0,4127.0
Chile,1825.0,CHL,1621.0,0.0,0.0,Republic,240216.0,"469,400",South America,1522.0,1.7,5.99,15.1,50.5%,49.5%,45.2,4720179.0,104428.0
China,301039.0,CHN,300986.0,0.0,0.0,Republic,10866444.0,"848,511",Asia,645.0,1.2,14.19,6.1,48.2%,51.8%,27803.5,67293100.0,105019.0
Ivory Coast,,CIV,,,,,,"2,446,171",Africa,,,,,,,171.0,2302.0,14.0
Cameroon,342950.0,CMR,104275.0,0.0,0.0,Republic,29198.0,"291,792",Africa,1604.0,2.3,13.59,48,50.0%,50.0%,91.0,20696070.0,226658.0
Democratic Republic of the Congo,383085.0,COD,166336.0,0.0,1.0,Republic,35238.0,"446,924",Africa,1543.0,35,106.48,71,50.3%,49.7%,72.0,6580800.0,91429.0
Republic of the Congo,44937.0,COG,133112.0,0.0,0.0,Republic,8553.0,"431,470",Africa,1646.0,,12.97,,50.0%,50.0%,9.42,36320731.0,3855103.0
Colombia,187.0,COL,212.0,0.0,0.0,Republic,292080.0,"129,632",South America,2612.0,35,12.56,32.7,50.8%,49.2%,85.5,324622261.0,3796742.0
Costa Rica,3588.0,CRI,19505.0,0.0,0.0,Republic,51107.0,"419,572",North America,2926.0,11,4.95,24.8,49.2%,50.8%,207.0,2062294.0,9928.0
Cuba,295.0,CUB,411.0,0.0,0.0,Republic,77150.0," 13,336",North America,1335.0,5.5,2.49,,49.7%,50.3%,236.0,4667096.0,19730.0
Northern Cyprus,,-99,,,,,,,,,,,,,,282.17,9733544.0,34495.0
Cyprus,7022.0,CYP,3394.0,0.0,0.0,Constitutional monarchy,19320.0,"207,313",Europe,498.0,1.14,0.347,,48.9%,51.1%,319.0,38496000.0,120728.0
Czech Republic,3580.0,CZE,2449.0,0.0,0.0,Republic,181811.0," 405,093",Europe,677.0,1.94,,9.8,50.8%,49.2%,282.0,6191155.0,21853.0
Germany,316058.0,DEU,594269.0,0.0,0.0,Republic,3355772.0," 12,005,690",Europe,700.0,0.86,0.0884,15.5,50.9%,49.1%,505.0,86295.0,171.0
Djibouti,19359.0,DJI,15104.0,1.0,0.0,Republic,1589.0,"123,537",Africa,220.0,3.4,40.84,18.8,49.8%,50.2%,75.0,1313271.0,17505.0
Denmark,27267.0,DNK,17922.0,0.0,0.0,Republic,295164.0," 572,520",Europe,703.0,1.01,2.74,13.4,50.4%,49.6%,767.333333333,216796030.0,1107905.33333
Dominican Republic,605.0,DOM,599.0,0.0,0.0,Republic,67103.0," 415,564",North America,1410.0,22,11.14,34.4,50.0%,50.0%,484.0,187356.0,386.0
Algeria,94161.0,DZA,94144.0,0.0,0.0,Republic,166839.0,"270,407",Africa,89.0,0.64,0.658,23,49.4%,50.6%,34.0,4448000.0,132047.0
Ecuador,121451.0,ECU,121249.0,0.0,0.0,Republic,100872.0,"359,315",South America,2087.0,19,3.83,25.6,50.0%,50.0%,129.0,6071045.0,46884.0
Egypt,212462.0,EGY,95056.0,0.0,0.0,Republic,330779.0,"297,448",Africa,51.0,0.8,2.66,22,49.8%,50.2%,202.0,8721014.0,43433.0
Eritrea,2549.0,ERI,4809.0,1.0,0.0,Republic,,"15,798",Africa,384.0,16,84.48,50,50.1%,49.9%,111.0,10628972.0,94926.0
Spain,5737.0,ESP,3820.0,0.0,0.0,Republic,1199057.0," 5,852,953",Europe,636.0,0.9,0.164,21.1,50.6%,49.4%,215.0,87952991.0,410678.0
Estonia,133.0,EST,39.0,0.0,0.0,Republic,22691.0," 202,348",Europe,626.0,7.1,1.58,17.5,53.6%,46.4%,48.0,28502.0,599.0
Ethiopia,736071.0,ETH,154295.0,1.0,0.0,Republic,61537.0,"718,241",Africa,848.0,21,32.82,39,50.0%,50.0%,179.0,3531159.0,19772.0
Finland,12622.0,FIN,8724.0,0.0,0.0,Republic,229810.0," 315,881",Europe,536.0,2.5,1.12,,50.9%,49.1%,39.5,16729500.0,212452.5
Fiji,7.0,FJI,1.0,0.0,0.0,Republic,4386.0," 13,751",Oceania,2592.0,2.8,1.31,31,49.1%,50.9%,109.0,4076530.0,37466.0
Falkland Islands,,FLK,,,,,,,,,,,,,,,,
France,273092.0,FRA,200687.0,0.0,0.0,Republic,2421682.0," 7,784,418",Europe,867.0,1.31,0.613,7.9,51.6%,48.4%,943.375,12091534.0,1542.375
Gabon,919.0,GAB,9015.0,0.0,0.0,Republic,14340.0,"394,953",Africa,1831.0,,12.29,,49.7%,50.3%,6.86,229040.0,33399.0
United Kingdom,122996.0,GBR,238150.0,0.0,0.0,Republic,2848755.0," 8,543,120",Europe,1220.0,,0.212,16.2,50.7%,49.3%,892.991538462,148888982.0,85540.1538462
Georgia,1963.0,GEO,639.0,0.0,0.0,Republic,13965.0,"189,893",Europe,1026.0,7.6,0.836,9.2,52.9%,47.1%,114.0,20386799.0,179943.0
Ghana,17394.0,GHA,13828.0,0.0,0.0,Constitutional monarchy,37864.0,"358,829",Africa,1187.0,1.7,25.72,28.5,50.4%,49.6%,238.0,10323000.0,43484.0
Guinea,8825.0,GIN,14113.0,0.0,0.0,Republic,6699.0,"378,464",Africa,1651.0,,37.64,47,49.9%,50.1%,91.0,4255.0,47.0
Guinea,8825.0,GIN,14113.0,0.0,0.0,Republic,6699.0,"378,464",Africa,1651.0,,37.64,47,50.3%,49.7%,91.0,4255.0,47.0
Guinea,8825.0,GIN,14113.0,0.0,0.0,Republic,6699.0,"18,024",Africa,1651.0,,37.64,47,49.9%,50.1%,91.0,4255.0,47.0
Guinea,8825.0,GIN,14113.0,0.0,0.0,Republic,6699.0,"18,024",Africa,1651.0,,37.64,47,50.3%,49.7%,91.0,4255.0,47.0
Gambia,7851.0,GMB,8378.0,0.0,0.0,Republic,0.0,"162,919",Africa,836.0,,41.97,48.4,50.5%,49.5%,363.0,13452.0,37.0
Guinea Bissau,,GNB,,,,,,,,1577.0,,44.17,,,,,,
Equatorial Guinea,,GNQ,,,,Republic,9398.0,"10,141",Africa,2156.0,19,52.09,,48.8%,51.2%,117.0,2944459.0,25212.0
Greece,30187.0,GRC,1444.0,0.0,0.0,Republic,195212.0," 1,242,514",Europe,652.0,1.05,0.246,20,50.7%,49.3%,192.0,42658149.0,222588.0
Greenland,,GRL,,,,,2441.0,,,,,,9.2,,,,,
Guatemala,222.0,GTM,138.0,0.0,0.0,Republic,63794.0,"72,764",North America,1996.0,52,7.48,54,51.2%,48.8%,306.0,53883.0,176.0
Guyana,7.0,GUY,7.0,0.0,0.0,Absolute monarchy,3166.0,"14,770",South America,2387.0,21,31.7,35,49.2%,50.8%,,,
Honduras,23.0,HND,14.0,0.0,0.0,Republic,20152.0,"27,503",North America,1976.0,67,8.39,60,50.0%,50.0%,176.0,2074000.0,11720.0
Croatia,473.0,HRV,936.0,0.0,0.0,Republic,48732.0," 576,883",Europe,1113.0,1.67,0.865,21.1,51.8%,48.2%,176.0,4757976.0,27133.0
Haiti,0.0,HTI,0.0,0.0,0.0,Republic,8877.0," 39,529",North America,1440.0,21,69.64,80,50.6%,49.4%,803.0,56086.0,70.0
Hungary,4333.0,HUN,5414.0,0.0,0.0,Republic,120687.0," 449,632",Europe,589.0,1.38,0.858,14,52.5%,47.5%,238.0,46439864.0,195364.0
Indonesia,5954.0,IDN,811.0,0.0,0.0,Republic,861934.0,"295,433",Asia,2702.0,1.05,3.74,11.7,49.7%,50.3%,,,
India,201364.0,IND,184821.0,0.0,0.0,Republic,2073543.0,"5,338,486",Asia,1083.0,2.8,1.14,29.8,48.3%,51.7%,782.0,106405.0,136.0
Ireland,6063.0,IRL,9107.0,0.0,0.0,Republic,238020.0," 746,260",Europe,1118.0,,1.28,5.5,50.4%,49.6%,161.0,55155473.0,341217.0
Iran,979435.0,IRN,1073366.0,0.0,0.0,Republic,425326.0,"2,649,516",Asia,228.0,2.6,0.0454,18.7,49.7%,50.3%,111.0,1547777.0,13948.0
Iraq,277697.0,IRQ,34655.0,0.0,1.0,Republic,168607.0,"95,780",Asia,216.0,,12.99,25,49.4%,50.6%,186.0,23202000.0,124680.0
Iceland,125.0,ISL,83.0,0.0,0.0,Republic,16598.0," 37,522",Europe,1940.0,0,1.38,,49.7%,50.3%,4709.0,800.0,0.17
Israel,38463.0,ISR,25471.0,0.0,0.0,Constitutional monarchy,296075.0,"2,046,873",Asia,435.0,2.1,2.65,21,50.5%,49.5%,,,
Italy,117986.0,ITA,56397.0,0.0,0.0,Constitutional monarchy,1814763.0," 5,788,875",Europe,832.0,1.1,0.421,29.9,51.4%,48.6%,425.0,76246.0,179.0
Jamaica,8.0,JAM,21.0,0.0,0.0,Constitutional monarchy,14006.0," 23,167",North America,2051.0,60,11.09,16.5,50.8%,49.2%,521.0,60665551.0,116336.0
Jordan,664095.0,JOR,450915.0,0.0,0.0,Republic,37517.0,"2,925,780",Asia,111.0,1.9,3.21,14.2,49.0%,51.0%,179.0,30492800.0,171469.0
Japan,2464.0,JPN,2586.0,0.0,0.0,Republic,4123258.0,"2,437,169",Asia,1668.0,1.02,0.0322,16,51.3%,48.7%,,,
Kazakhstan,701.0,KAZ,4406.0,0.0,0.0,Republic,184361.0,"3,476,233",Asia,250.0,11,0.602,5.3,51.9%,48.1%,6.63,2113077.0,318580.0
Kenya,553892.0,KEN,402905.0,1.0,0.0,Republic,63398.0,"955,452",Africa,630.0,3.6,27.32,43.4,50.1%,49.9%,186.0,1250000.0,6704.0
Kyrgyzstan,349.0,KGZ,2458.0,0.0,0.0,Republic,,"226,960",Asia,533.0,7.9,1.12,33.7,50.7%,49.3%,48.0,3286314.0,68037.0
Cambodia,69.0,KHM,129.0,0.0,0.0,Constitutional monarchy,18050.0,"75,556",Asia,1904.0,3.2,1.92,20,51.2%,48.8%,197.0,268270.0,1359.0
South Korea,1425.0,KOR,358.0,0.0,0.0,Republic,1377873.0,"1,230,000",Asia,1274.0,2.3,0.612,16,50.3%,49.7%,,,
Kosovo,,-99,,,,,6386.0,,,,,,30,,,355.0,260581000.0,735358.0
Kuwait,731.0,KWT,184.0,0.0,0.0,Republic,112812.0,"2,920,000",Asia,121.0,1.1,1.37,,40.2%,59.8%,497.0,51970.0,104.0
Laos,,LAO,,,,Republic,,"21,801",Asia,1834.0,,4.47,22,,,47.0,515870.0,10954.0
Lebanon,1070844.0,LBN,8063.0,0.0,0.0,Republic,47103.0,,Asia,661.0,0.57,4.05,28,49.2%,50.8%,1063.62,17053284.0,16033.0
Liberia,36490.0,LBR,24743.0,0.0,0.0,Constitutional monarchy,2053.0,"225,484",Africa,2391.0,,95.41,80,49.6%,50.4%,80.0,2005200.0,24928.0
Libya,9295.0,LBY,7923.0,0.0,1.0,Republic,29153.0,"755,974",Africa,56.0,2.2,5.03,,50.0%,50.0%,0.54,2563.0,4700.0
Sri Lanka,776.0,LKA,223.0,0.0,0.0,Republic,82316.0,"324,977",Asia,1712.0,7.4,4.94,8.9,51.1%,48.9%,668.0,1328019.0,1990.0
Lesotho,26.0,LSO,,,,n/a,2181.0,"3,095",Africa,788.0,37,29.87,49,50.7%,49.3%,163.0,14974.0,92.0
Lithuania,1064.0,LTU,803.0,0.0,0.0,Republic,41244.0," 136,036",Europe,656.0,9,0.456,4,54.0%,46.0%,98.0,864618.0,8880.0
Luxembourg,1276.0,LUX,3254.0,0.0,0.0,Republic,57794.0," 249,325",Europe,934.0,1.45,3.77,,50.2%,49.8%,,,
Latvia,188.0,LVA,68.0,0.0,0.0,Constitutional monarchy,27035.0," 263,126",Europe,641.0,4.8,0.964,,54.3%,45.7%,57.0,9884285.0,173732.0
Morocco,3884.0,MAR,792.0,0.0,0.0,Republic,100360.0,"50,771",Africa,346.0,0.4,2.68,15,50.6%,49.4%,176.0,393162.0,2226.0
Moldova,404.0,MDA,,,,Republic,6551.0," 142,904",Europe,450.0,6.7,3.92,21.9,,,238.0,7146759.0,29913.0
Madagascar,6.0,MDG,0.0,0.0,0.0,Constitutional monarchy,9981.0,"34,313",Africa,1513.0,,31.87,50,50.2%,49.8%,65.0,351461.0,5382.0
Mexico,2874.0,MEX,1395.0,0.0,0.0,Republic,1144331.0,"1,103,460",North America,752.0,15,3.4,52.3,51.6%,48.4%,,,
Macedonia,697.0,MKD,1398.0,0.0,1.0,Republic,," 130,730",Europe,619.0,,1.02,30.4,49.9%,50.1%,184.0,1066409.0,5760.0
Mali,15908.0,MLI,13558.0,0.0,1.0,Republic,13100.0,"195,553",Africa,282.0,,42.9,36.1,49.6%,50.4%,9.06,6244174.0,683424.0
Myanmar,0.0,MMR,0.0,0.0,0.0,Republic,64866.0,"103,117",Asia,,,,,51.5%,48.5%,194.0,14799859.0,75955.0
Montenegro,1762.0,MNE,16364.0,0.0,0.0,Republic,3993.0," 82,541",Europe,,,1.0,6.6,50.6%,49.4%,94.0,85026000.0,905446.0
Mongolia,6.0,MNG,12.0,0.0,0.0,Constitutional monarchy,11758.0,"17,225",Asia,241.0,7.9,1.87,29.8,50.5%,49.5%,2852.0,37429.0,13.0
Mozambique,5609.0,MOZ,4077.0,0.0,0.0,Republic,14689.0,"218,881",Africa,1032.0,5,27.44,52,51.1%,48.9%,53.0,778716.0,14824.0
Mauritania,77380.0,MRT,26717.0,0.0,0.0,Republic,5442.0,"90,206",Africa,92.0,,44.6,40,49.6%,50.4%,0.08,55984.0,836297.0
Malawi,9013.0,MWI,5740.0,1.0,0.0,Republic,6565.0,"206,578",Africa,1181.0,,4.3,53,49.9%,50.1%,264.0,11163934.0,42427.0
Malaysia,94111.0,MYS,81516.0,0.0,0.0,Republic,296218.0,"3,276,880",Asia,2875.0,2.3,3.63,3.8,51.5%,48.5%,207.0,54363426.0,261228.0
Namibia,1725.0,NAM,7254.0,0.0,0.0,Republic,11546.0,"51,448",Africa,285.0,6,19.24,28.7,51.5%,48.5%,3248.0,66449.0,20.0
New Caledonia,,NCL,,,,,,,,,,,,49.4%,50.6%,,,
Niger,124712.0,NER,314.0,1.0,0.0,Constitutional monarchy,7143.0,"132,294",Africa,151.0,,61.12,63,49.6%,50.4%,21.8,143975923.0,6601668.0
Nigeria,1372.0,NGA,8747.0,0.0,0.0,Absolute monarchy,481066.0,"1,233,592",Africa,1150.0,1.3,69.68,70,49.1%,50.9%,430.0,1815606.0,4212.0
Nicaragua,325.0,NIC,64.0,0.0,0.0,Republic,12693.0,"41,482",North America,2391.0,13,9.24,42.5,50.5%,49.5%,111.0,52981991.0,471359.0
Netherlands,88493.0,NLD,74961.0,0.0,0.0,Republic,752547.0," 1,979,486",Europe,778.0,0.93,0.0465,9.1,50.4%,49.6%,796.814,169995225.0,68401.8
Norway,50317.0,NOR,40260.0,0.0,0.0,Republic,388315.0," 741,813",Europe,1414.0,0.6,0.626,,49.9%,50.1%,30.0,14528662.0,482077.0
Nepal,32659.0,NPL,89808.0,0.0,0.0,Constitutional monarchy,20881.0,"971,247",Asia,1500.0,2.2,2.97,25.2,51.6%,48.4%,370.49,1379092715.0,3722342.0
New Zealand,1273.0,NZL,2307.0,0.0,0.0,Republic,173754.0," 1,132,736",Oceania,1732.0,1.3,0.587,,50.9%,49.1%,115.2425,44414488.0,369134.0
Oman,244.0,OMN,78.0,0.0,0.0,Republic,70255.0,"1,112,032",Asia,125.0,0.6,2.13,,36.4%,63.6%,9.45,784894.0,83012.0
Pakistan,1561152.0,PAK,1900621.0,0.0,0.0,Republic,269971.0,"4,080,766",Asia,494.0,6.8,29.98,22.3,48.6%,51.4%,510.0,24213510.0,47399.0
Panama,17264.0,PAN,17073.0,0.0,0.0,Republic,52132.0,"158,417",North America,2692.0,13,9.14,26,49.5%,50.5%,101.0,25500100.0,249347.0
Peru,1429.0,PER,1146.0,0.0,0.0,Republic,192084.0,"104,919",South America,1738.0,3.2,4.34,25.8,49.9%,50.1%,44.0,30894000.0,710251.0
Philippines,239.0,PHL,243.0,0.0,0.0,Republic,291965.0,"213,150",Asia,2348.0,6.4,15.99,26.5,49.9%,50.1%,725.0,92700000.0,127882.0
Papua New Guinea,9503.0,PNG,9698.0,0.0,0.0,Republic,16929.0," 25,782",Oceania,3142.0,,60.02,37,49.0%,51.0%,27.7,5240000.0,189657.0
Poland,14012.0,POL,15555.0,0.0,0.0,Absolute monarchy,474783.0," 619,403",Europe,600.0,1.21,2.05,10.6,51.7%,48.3%,272.0,3559500.0,13067.0
Puerto Rico,,PRI,,,,,103135.0,,,2054.0,,12.92,,51.9%,48.1%,,,
North Korea,0.0,PRK,,,,Constitutional monarchy,,"46,813",Asia,1054.0,,,,51.1%,48.9%,381.0,106461.0,280.0
Portugal,634.0,PRT,384.0,0.0,0.0,Republic,198931.0," 837,257",Europe,854.0,1.17,0.428,18,51.6%,48.4%,264.0,78741053.0,302535.0
Paraguay,167.0,PRY,107.0,0.0,0.0,Republic,27623.0,"185,776",South America,1130.0,12,21.2,34.7,49.6%,50.4%,35.0,4183841.0,119499.0
Qatar,117.0,QAT,51.0,0.0,0.0,Republic,166908.0,"1,600,955",Asia,74.0,1,3.39,,23.5%,76.5%,365.0,1411.0,4.0
Romania,2546.0,ROU,1021.0,0.0,0.0,Republic,177954.0," 226,943",Europe,637.0,2.3,4.86,22.2,51.3%,48.7%,197.0,4290612.0,21831.0
Russia,314472.0,RUS,4922.0,0.0,0.0,Constitutional monarchy,1326015.0," 11,643,276",Asia,460.0,15,1.53,11,53.9%,46.1%,8.39,332529.0,39682.0
Rwanda,144724.0,RWA,55398.0,1.0,0.0,Constitutional monarchy,8096.0,"452,406",Africa,1212.0,,2.02,44.9,51.2%,48.8%,904.0,394173.0,436.0
Western Sahara,,-99,,,,,,,,,,,,47.4%,52.6%,2899.16,161187518.0,55598.0
Saudi Arabia,117.0,SAU,582.0,0.0,0.0,Republic,646002.0,"9,060,433",Asia,59.0,0.9,7.64,,42.5%,57.5%,16.0,17186000.0,1052090.0
Sudan,309627.0,SDN,178308.0,1.0,0.0,Absolute monarchy,84067.0,"446,707",Africa,416.0,,,46.5,49.8%,50.2%,37.0,324528.0,8867.0
South Sudan,263012.0,SDS,,,,Republic,9015.0,"629,577",Africa,,,,50.6,50.0%,50.0%,37.0,17129076.0,458075.0
Senegal,14383.0,SEN,20672.0,0.0,0.0,Republic,13780.0,"209,398",Africa,686.0,1.1,31.95,54,51.0%,49.0%,166.0,7153784.0,42858.0
Solomon Islands,,SLB,,,,Republic,1157.0," 2,585",Oceania,3028.0,,10.68,,49.2%,50.8%,39.0,2072.0,53.0
Sierra Leone,760.0,SLE,8363.0,0.0,0.0,Republic,4475.0,"96,368",Africa,2526.0,2.6,103.37,70.2,50.3%,49.7%,197.78,34099548.0,172414.0
El Salvador,36.0,SLV,38.0,0.0,0.0,Republic,25850.0,"41,615",North America,1724.0,71,6.3,36.5,52.6%,47.4%,,,
Somaliland,,-99,,,,,,,,,,,,,,,,
Somalia,8071.0,SOM,1937.0,1.0,0.0,Republic,5953.0,"24,593",Africa,282.0,,129.09,,50.3%,49.7%,22.7,11274106.0,495755.0
Republic of Serbia,,SRB,,,,,,,,,,,,,,,,
Suriname,,SUR,1.0,0.0,0.0,Constitutional monarchy,4878.0,"41,670",South America,2331.0,14,9.06,70,49.9%,50.1%,11054.0,29873.0,2.6
Slovakia,796.0,SVK,461.0,0.0,0.0,Constitutional monarchy,," 177,190",Europe,824.0,1.74,,21,51.4%,48.6%,256.0,8264070.0,32278.0
Slovenia,269.0,SVN,314.0,0.0,0.0,Republic,42747.0," 235,966",Europe,1162.0,0.55,1.48,13.5,50.3%,49.7%,241.0,313626.0,1295.0
Sweden,169461.0,SWE,82629.0,0.0,0.0,Republic,492618.0," 1,639,771",Europe,624.0,0.89,0.32,,50.2%,49.8%,42.0,6672631.0,157048.0
Swaziland,674.0,SWZ,759.0,0.0,0.0,Republic,4060.0,"25,524",Africa,788.0,13,28.07,69,50.7%,49.3%,166.0,17322796.0,104543.0
Syria,21102.0,SYR,1005472.0,0.0,1.0,Republic,,"1,394,227",Asia,252.0,3,0.864,11.9,49.1%,50.9%,264.0,8572895.0,32386.0
Chad,369523.0,TCD,347939.0,0.0,1.0,Republic,10889.0,"331,251",Africa,322.0,19,63.78,80,49.9%,50.1%,8.44,534189.0,63251.0
Togo,21939.0,TGO,14051.0,0.0,0.0,Republic,4003.0,"202,476",Africa,1168.0,,11.2,32,50.7%,49.3%,254.0,2821977.0,11082.0
Thailand,108237.0,THA,96675.0,0.0,0.0,Constitutional monarchy,395282.0,"3,721,735",Asia,1622.0,5.9,3.68,13.2,51.0%,49.0%,275.0,9877365.0,35919.0
Tajikistan,1963.0,TJK,3131.0,0.0,0.0,n/a,7853.0,"275,735",Asia,691.0,1.7,0.886,35.6,49.8%,50.2%,,,
Turkmenistan,25.0,TKM,62.0,0.0,0.0,Republic,37334.0,"226,327",Asia,161.0,4.1,,30,50.8%,49.2%,9.01,2024904.0,224607.0
East Timor,,TLS,,,,Republic,,,Asia,1500.0,13,13.71,41,,,,,
Trinidad and Tobago,101.0,TTO,29.0,0.0,0.0,Republic,27806.0,"32,488",North America,2200.0,43,1.23,17,50.6%,49.4%,523.0,186988000.0,356669.0
Tunisia,649.0,TUN,89.0,0.0,0.0,Republic,43015.0,"36,526",Africa,207.0,,0.0473,3.8,50.4%,49.6%,150.0,1622000.0,10831.0
Turkey,2541308.0,TUR,10032.0,0.0,0.0,Constitutional monarchy,718221.0," 4,580,678",Asia,593.0,3.8,3.34,16.9,50.9%,49.1%,220.0,6092000.0,27699.0
Taiwan,,TWN,,,,,,,,,,,1.5,,,1103.0,8938.0,8.0
United Republic of Tanzania,211845.0,TZA,109286.0,1.0,0.0,Republic,,"312,778",Africa,1071.0,7.5,3.98,36,50.0%,50.0%,119.0,9469200.0,80155.0
Uganda,477167.0,UGA,135801.0,1.0,0.0,Absolute monarchy,26369.0,"531,401",Africa,1180.0,8.7,18.86,24.5,49.9%,50.1%,339.0,5639719.0,16640.0
Ukraine,3226.0,UKR,3022.0,0.0,0.0,Constitutional monarchy,90615.0," 4,834,898",Europe,1875.0,5.4,0.534,24.1,53.9%,46.1%,171.0,10777500.0,63170.0
Uruguay,267.0,URY,189.0,0.0,0.0,Republic,53443.0,"73,528",South America,1265.0,5.8,0.147,18.6,51.7%,48.3%,40.0,5063709.0,125013.0
United States of America,273113.0,USA,264569.0,0.0,0.0,Republic,17946996.0," 46,627,102",North America,715.0,5,5.64,15.1,50.8%,49.2%,479.56,227767218.0,105943.0
Uzbekistan,106.0,UZB,311.0,0.0,0.0,Republic,66733.0,"1,266,278",Asia,206.0,3.2,6.06,17,50.3%,49.7%,163.0,31458.0,192.0
Venezuela,173705.0,VEN,201547.0,0.0,0.0,Republic,371337.0,"1,171,331",South America,1875.0,49,6.37,31.6,49.9%,50.1%,56.0,264652.0,4707.0
